unknown	document	note	3630 nodes, 101 of them focusable, at 1 device pixels per CSS pixel
unknown	rect	node:	173.0 1062.0 36.0 44.0
unknown	rect	node:	217.0 1062.0 36.0 44.0
unknown	rect	node:	261.0 1062.0 36.0 44.0
unknown	rect	node:Forma field that says what is wrong with	554.0 964.0 314.0 226.0
unknown	rect	node:Form	571.0 981.0 280.0 24.0
unknown	rect	node:a field that says what is wrong with it	571.0 1009.0 280.0 16.0
unknown	rect	node:Emailnot-an-addressWe only write about t	571.0 1029.0 280.0 144.0
unknown	rect	node:Emailnot-an-addressWe only write about t	571.0 1041.0 280.0 132.0
unknown	rect	node:Emailnot-an-addressWe only write about t	571.0 1041.0 280.0 80.0
unknown	rect	node:Emailnot-an-addressWe only write about t	571.0 1041.0 280.0 80.0
unknown	rect	node:Email	571.0 1041.0 280.0 18.0
unknown	rect	node:not-an-address	571.0 1063.0 280.0 36.0
unknown	rect	node:not-an-address	584.0 1071.0 103.0 20.0
unknown	rect	node:We only write about this account.	571.0 1103.0 280.0 18.0
unknown	rect	node:Sign up	571.0 1137.0 280.0 36.0
unknown	rect	node:Sign up	686.0 1145.0 50.5 20.0
unknown	rect	node:Checkboxon, off, part-way and disabledst	884.0 964.0 270.0 181.0
unknown	rect	node:Checkbox	901.0 981.0 236.0 24.0
unknown	rect	node:on, off, part-way and disabled	901.0 1009.0 236.0 16.0
unknown	rect	node:stateswith a labelI accept the terms	901.0 1029.0 236.0 99.0
unknown	rect	node:states	901.0 1041.0 236.0 37.0
unknown	rect	node:states	901.0 1041.0 236.0 17.0
unknown	rect	node:	901.0 1062.0 236.0 16.0
unknown	rect	node:	901.0 1062.0 16.0 16.0
unknown	rect	node:	897.0 1064.0 12.0 12.0
unknown	rect	node:	909.0 1064.0 12.0 12.0
unknown	rect	node:	925.0 1062.0 16.0 16.0
unknown	rect	node:	921.0 1064.0 12.0 12.0
unknown	rect	node:	933.0 1064.0 12.0 12.0
unknown	rect	node:	949.0 1062.0 16.0 16.0
unknown	rect	node:	945.0 1064.0 12.0 12.0
unknown	rect	node:	957.0 1064.0 12.0 12.0
unknown	rect	node:	973.0 1062.0 16.0 16.0
unknown	rect	node:	969.0 1064.0 12.0 12.0
unknown	rect	node:	981.0 1064.0 12.0 12.0
unknown	rect	node:with a labelI accept the terms	901.0 1090.0 236.0 38.0
unknown	rect	node:with a label	901.0 1090.0 236.0 16.0
unknown	rect	node:I accept the terms	901.0 1110.0 236.0 18.0
unknown	rect	node:I accept the terms	901.0 1110.0 136.0 18.0
unknown	rect	node:	901.0 1111.0 16.0 16.0
unknown	rect	node:	897.0 1113.0 12.0 12.0
unknown	rect	node:	909.0 1113.0 12.0 12.0
unknown	rect	node:I accept the terms	925.0 1110.0 112.0 18.0
unknown	rect	node:Radio and switchone of several, and one 	24.0 1206.0 514.0 189.0
unknown	rect	node:Radio and switch	41.0 1223.0 480.0 24.0
unknown	rect	node:one of several, and one that is on or of	41.0 1251.0 480.0 17.0
unknown	rect	node:radio groupMonthlyYearlyNeverswitchSend 	41.0 1272.0 480.0 106.0
unknown	rect	node:radio groupMonthlyYearlyNever	41.0 1284.0 480.0 41.0
unknown	rect	node:radio group	41.0 1284.0 480.0 16.0
unknown	rect	node:MonthlyYearlyNever	41.0 1304.0 480.0 21.0
unknown	rect	node:MonthlyYearlyNever	41.0 1304.0 221.0 21.0
unknown	rect	node:MonthlyYearlyNever	41.0 1304.0 221.0 21.0
unknown	rect	node:	41.0 1307.0 16.0 16.0
unknown	rect	node:	45.0 1311.0 8.0 8.0
unknown	rect	node:Monthly	65.0 1304.0 54.0 21.0
unknown	rect	node:	127.0 1307.0 16.0 16.0
unknown	rect	node:	131.0 1311.0 8.0 8.0
